Completion %,Critic Rating,Format,My Rating,Date Finished,Hours Played,Release Date,Date Started,HLTB Complete,HLTB Extras,HLTB Story,Banner URL,Developer,Platform,Poster URL,Publisher,Review,Status,Summary,Title
0,73,0,0,,0.03333333333333333,2013-11-15,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/tmylb5knvikgpetzh9s1.png,Digital Extremes,PS4,https://images.igdb.com/igdb/image/upload/t_original/co1nhi.png,Digital Extremes,,Collection,"Warframe situates players as members of the Tenno race, newly awoken after years of cryo-sleep into a solar system at war. Reborn into a corrupt era, the Tenno are sought by the oppressive Grineer Empire for annihilation. Warframe armor is the key to overthrowing the Grineer by providing players with unique offensive and defensive powers to explore, upgrade and master during purpose-driven radical raids.",Warframe
5,84,0,0,,10.766666666666667,2016-04-12,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/vedxjruyzyajs2viwl6z.png,Insomniac Games,PS4,https://images.igdb.com/igdb/image/upload/t_original/co230k.png,Sony Interactive Entertainment,,Collection,"Ratchet & Clank is a new game based on elements from the original Ratchet & Clank (PS2), featuring more than an hour of new cinematics (including footage from the film) in vibrant 1080p, new locations, weapons, bosses and more. Join Ratchet, Clank, Captain Qwark and new friends as they embark on an intergalactic adventure, and experience the start of an epic friendship (again) on PlayStation 4.",Ratchet & Clank
4,80,0,0,,5.733333333333333,2019-05-14,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/yl6vcx14pyvwfdf3epew.png,Asobo Studio,PS4,https://images.igdb.com/igdb/image/upload/t_original/co1lat.png,Focus Entertainment,,Collection,"A Plague Tale: Innocence, on PlayStation 4, Xbox One and PC, tells the grim story of two siblings fighting together for survival in the darkest hours of History. This new video game from Asobo Studio sends you on an emotional journey through the 14th century France, with gameplay combining adventure, action and stealth, supported by a compelling story. Follow the young Amicia and her little brother Hugo, who face the brutality of a ravaged world as they discover their purpose to expose a dark secret. On the run from the Inquisition's soldiers, surrounded by unstoppable swarms of rats incarnating the Black Death, Amicia and Hugo will learn to know and trust each other as they struggle for their lives against all odds.",A Plague Tale: Innocence
0,66,0,0,,0.15,2018-01-23,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/rd4vug8n2nzt2rvtproc.png,Tokyo RPG Factory,PS4,https://images.igdb.com/igdb/image/upload/t_original/co1pwu.png,Square Enix,,Collection,"""The next evolution in this new golden age of JRPG’s arrives with LOST SPHEAR, bringing a fresh take on classic RPG gameplay! A young man, who suffered a phenomenon that he had never seen, faces an ominous power that threatens the fabric of reality. Awaken the power of Memory to restore what was lost! Muster different Memory and craft the world around you in a journey to save the world.""",Lost Sphear
0,83,0,0,,1.05,2015-08-12,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/k5ymzkjthfmttvdluxwv.png,Starbreeze Studios,PS4,https://images.igdb.com/igdb/image/upload/t_original/co1rro.png,505 Games,,Collection,"Brothers is presented from a third-person view overlooking the two brothers. The brothers are moved individually by two thumbsticks on the controller. The controller triggers also cause the respective brother to interact with the game world, such as talking to a non-player character or grabbing onto a ledge or object.

The older brother is the stronger of the two and can pull levers or boost his younger brother to higher spaces, while the younger one can pass between narrow bars. The player progresses by manipulating the two brothers at the same time to complete various puzzles, often requiring the player to manipulate both brothers to perform differing functions (such as one distracting a hostile non-player character while the other makes their way around).

Should either brother fall from a great height or get injured, the game restarts at a recent checkpoint. All of the in-game dialogue is spoken in a fictional language, thus the story is conveyed through actions, gestures and expressions.",Brothers: A Tale of Two Sons
0,82,0,0,,10.233333333333333,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/xmzvjq9xfe99vnz0nihs.png,United Front Games,,https://images.igdb.com/igdb/image/upload/t_original/co2e3z.png,Bandai Namco Entertainment,,Collection,"Wei Shen, an young officer working for the San Francisco Police Department gets tasked to go back to his hometown of Hong Kong. In Hong Kong Wei is assigned to the Hong Kong Police Department, in a effort to take down the ""Sun on Yee"" Wei goes undercover in the triad to gather information and take them down, But the police soon become worried that he is getting attached to his ""Friends"" such as Jackie Ma. In this journey of Betrayal and High stakes, Will Wei become a ""Red Pole"" and join the high ranks of the Triads or be discovered by them and buried alive?",Sleeping Dogs
1,0,0,0,,0.26666666666666666,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc9j2n.png,Bugbear Entertainment,,https://images.igdb.com/igdb/image/upload/t_original/co2ysl.png,THQ Nordic,,Collection,"Wreckfest is a demolition derby themed racing game with soft-body damage modeling, sophisticated driving dynamics and in-depth vehicle upgrading, featuring both demolition derbies and more traditional track races. It’s all about fun, breakneck racing and over-the-top crashes.",Wreckfest
1,67,0,0,,0.1,2014-08-12,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/kefsvlnzkj4f52qtmaxm.png,Bossa Studios,PS4,https://images.igdb.com/igdb/image/upload/t_original/co4o2m.png,Bossa Studios,,Collection,"The most critically acclaimed, one-handed, clumsy, bumbling, surgery simulation game has now arrived on PS4! Players use their controllers to operate one of Doctor Nigel Burke’s flailing arms, in an attempt to perform life-saving surgery on his peaceful and trusting patient, Bob. Includes the exclusive PS4 multiplayer offline co-op mode. Two controllers, two hands... still one poor Bob!",Surgeon Simulator: Anniversary Edition
4,50,0,0,,0.06666666666666667,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc619w.png,We're Five Games,,https://images.igdb.com/igdb/image/upload/t_original/co1uwi.png,tinyBuild,,Collection,"Delivery Attempted. That's the Totally Reliable Delivery Service guarantee! T.R.D.S. is a ragdoll physics simulation about terrible package delivery couriers. Work together using odd machinery, useful gadgets, and the wonders of physics to reliably deliver packages to their destination.",Totally Reliable Delivery Service
7,63,0,0,,0.6,2015-08-18,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/mayykrzxzw35ec5ph5eg.png,Straight Right,PS4,https://images.igdb.com/igdb/image/upload/t_original/co22as.png,,,Collection,"London is falling. Are you prepared? The Last Blight is upon us. It was foretold. For the second time in history, a great plague has shrouded London in a fog of death. Big Ben tolls as thousands of unprepared die, or worse, are infected by a sickness more gruesome than death.

""The nail-biting survival experience of ZombiU has been upgraded for download on next-gen consoles and PC. Zombi takes the power of the latest generation of hardware to bring you a new level of horror. Test your will to survive, but beware: death is permanent, and one wrong move can cause you to lose everything.""",Zombi
0,72,0,0,,1.1166666666666667,2015-04-14,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/uzkwriq0oplnh7hie6rj.png,Acid Nerve,PS4,https://images.igdb.com/igdb/image/upload/t_original/co2xo0.png,Devolver Digital,,Collection,"Between our world and the world beyond lie the Titan Souls, the spiritual source and sum of all living things. Now scattered amongst the ruins and guarded by the idle titans charged with their care, a solitary hero armed with but a single arrow is once again assembling shards of the Titan Soul in a quest for truth and power.",Titan Souls
0,72,0,0,,17.683333333333334,2010-07-15,,16.185555555555556,7.149444444444445,4.608888888888889,https://images.igdb.com/igdb/image/upload/t_original/vkhez6oznwv2monfvfg9.png,Avalanche Software,X360,https://images.igdb.com/igdb/image/upload/t_original/co2rqb.png,Disney Interactive Studios,,C Play Later,"In Toy Story 3: The Video Game help Buzz, Woody and the rest of the Toys ensure no toy gets left behind. Dive into all new heroic adventures in Story Mode or let your imagination run wild in the exiting new open world of Toy Box Mode! Come and play to infinity... and beyond!",Toy Story 3: The Video Game
0,84,0,0,,8.816666666666666,2021-10-05,,40.3375,23.750833333333333,12.288055555555555,https://images.igdb.com/igdb/image/upload/t_original/vge00t2yg7abkq6uhhc1.png,Traveller's Tales,Switch,https://images.igdb.com/igdb/image/upload/t_original/co5bze.png,WB Games,,C Play Later,"In LEGO Marvel Super Heroes, players will unlock more than 100 characters from across the Marvel Universe, including fan favorites like Spider-Man, Iron Man, Wolverine, Captain America, the Hulk, Thor, Black Widow, Hawkeye, Deadpool, Loki and Galactus! The game will pack in a plethora of super-cool character abilities, combat-like action sequences, epic battle scenes, puzzle-solving and a unique story told with playful LEGO humor.",LEGO Marvel Super Heroes
4,79,0,0,,1.7333333333333334,2015-09-01,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/tee1mscx9i0e4dbxpjbr.png,Renegade Kid,PS4,https://images.igdb.com/igdb/image/upload/t_original/co2aby.png,Good Shepherd Entertainment,,Collection,"Xeodrifter is an action-packed exploration game with a retro graphical style. Blast your way through alien landscapes, seek out valuable secrets, and defeat ancient guardians to unlock powers from a legendary supreme culture in this exciting journey of mystery and adventure.",Xeodrifter
0,69,0,0,,0.1,2014-06-09,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/lcbsgwkbxttlc286hick.png,Pixelopus,PS4,https://images.igdb.com/igdb/image/upload/t_original/co2q20.png,Sony Computer Entertainment,,Collection,"Entwined is a beautiful game about a bird and a fish that are in love but can’t be together. Learn to guide these two souls simultaneously then unite and transform them into a magnificent Dragon.

Over the course of nine unique lifetimes can you become Entwined forever?",Entwined
0,84,0,0,,2.966666666666667,2015-12-02,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc99xz.png,Playdead,PS4,https://images.igdb.com/igdb/image/upload/t_original/co1qrs.png,Microsoft Game Studios,,Collection,Limbo is a black and white puzzle-platforming adventure. Play the role of a young boy traveling through an eerie and treacherous world in an attempt to discover the fate of his sister.,Limbo
1,70,0,0,,3.75,2019-10-18,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc77mj.png,PopCap Games,PS4,https://images.igdb.com/igdb/image/upload/t_original/co3isd.png,Electronic Arts,,Collection,"Similar to its predecessors, the game is a third-person shooter where players take control of the Plants or the Zombies in either a cooperative or competitive multiplayer environment. The game features 20 customizable gameplay classes, six of which are new to the franchise, and they are classified into three groups: attackers, defenders, or support. Each camp also has a new team play class that allows players of the same class to combine forms when they fight against enemies. Players can compete against each other in various competitive multiplayer modes, including the objective-based Turf War mode and the team deathmatch variant Team Vanquish. The game also features several player-versus-environment open zones which allowed players to explore, find collectibles, and complete quests. Split-screen local multiplayer is also available for all gameplay mode",Plants vs. Zombies: Battle for Neighborville
0,40,0,0,,0.0,2016-06-21,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/b6ldgklmhbzqujw2fbnn.png,,PS4,https://images.igdb.com/igdb/image/upload/t_original/co2diq.png,Milestone,,Collection,"MXGP2 - The Official Motocross Videogame Compact will let you relive the Motocross World Championship, allowing you to choose all the riders, official teams and tracks from the 2015 MXGP-class season!",MXGP2: The Official Motocross Videogame
0,81,0,0,,0.5333333333333333,2014-03-19,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/qcdthxyya3hf5m1walf5.png,Image & Form,PS4,https://images.igdb.com/igdb/image/upload/t_original/v1jtxva0er1d25ui0o8p.png,,,Collection,"SteamWorld Dig is 2D a platform game that revolves around mining for resources and ores. The objective of the game is to investigate the mines underneath the old Western town Tumbleton in order to unearth the secrets lurking below. The player controls Rusty who is equipped with a pickaxe but the player is given options to upgrade the tools used for digging as progression is made in the game. Besides health, the player also needs coal for light, and water for special abilities.
SteamWorld Dig has platform elements in that the player runs, jumps and encounter foes, but the main objective is mining. That means that the player builds – or rather deconstructs – the game world and creates platforms that way. The player collects resources and other hidden resources which can be brought back to the surface and exchanged for cash. When the player progress in the game new abilities are unlocked. Each playthrough, the mines are randomized, making items and treasure appear in different locations. If the player gets stuck there is a self destruct function, but the players can also buy ladders in the store at the surface to get out of tricky situations.
When progressing deeper down in the cave, the player encounters various enemies with different attack patterns and weak spots. The game features multiple worlds, each with a completely different environment. Dying results in a reparation penalty fee, and the player respawns back on the surface. All the loot that has been accumulated when the player dies can be picked up again.",SteamWorld Dig
0,79,0,0,,1.1166666666666667,2014-12-03,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/qxrjrm2ablpasrvfsdwj.png,Rain Games,PS4,https://images.igdb.com/igdb/image/upload/t_original/co2iqf.png,Snow Cannon Games,,Collection,"Teslagrad is a 2D puzzle platformer with action elements, where magnetism and other electromagnetic powers are the key to go throughout the game, and thereby discover the secrets kept in the long abandoned Tesla Tower. Gain new abilities to explore a non-linear world with more than 100 beautiful hand-drawn environments, in a steampunk-inspired vision of old Europe. Jump into an outstanding adventure told through voiceless storytelling, writing your own part. Armed with ancient Teslamancer technology and your own ingenuity and creativity, your path lies through the decrepit Tesla Tower and beyond.",Teslagrad
0,23,0,0,,0.38333333333333336,2016-11-08,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/jjrnirs33uncqdgnrpni.png,Magic Pockets,PS4,https://images.igdb.com/igdb/image/upload/t_original/co22v8.png,GameMill Entertainment,,Collection,"""When Uncle Grandpa accidentally drives the UG-RV through multiple dimensions, he picks up some surprise passengers in the form of Gumball, Steven Universe, Finn, Mordecai and Clarence! Now they'll have to band together to defeat the evil shard creatures and set things right. Use each character's unique attacks and special moves to conquer the elements, fight your way through all the levels and beat some brutal boss battles. Replay maps with special modifiers to switch up the fun, and unlock bonus rooms along the way. Take on the single-player challenge in this crazy interdimensional adventure.""

(3DS Version does not have multiplayer)",Cartoon Network: Battle Crashers
0,62,0,0,,0.11666666666666667,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/duzggz8mg267ttxa7mmm.png,Ivory Tower,,https://images.igdb.com/igdb/image/upload/t_original/co54ib.png,Ubisoft Entertainment,,Collection,"The newest iteration in the revolutionary franchise, The Crew 2 captures the thrill of the American motorsports spirit in one of the most exhilarating open worlds ever created. Welcome to Motornation, a huge, varied, action-packed, and beautiful playground built for motorsports throughout the entire US of A. Enjoy unrestrained exploration on ground, sea, and sky. From coast to coast, street and pro racers, off-road explorers, and freestylers gather and compete in all kinds of disciplines. Join them in high-octane contests and share every glorious moment with the world.",The Crew 2
0,85,0,0,,0.15,2019-06-28,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc6h3q.png,Codemasters,PS4,https://images.igdb.com/igdb/image/upload/t_original/co1n7i.png,Deep Silver,,Collection,"Working in partnership with F1, for the first time ever, players will be able to get behind the wheel of a 2019 regulation car specifically designed in collaboration with F1’s technical team, headed up by Ross Brawn and Pat Symonds. The car, which will be available in Multiplayer, adheres to the 2019 regulations and comes with a range of livery designs offering players a new level of personalization. The 2019 F1 Team liveries will also feature on the car in early marketing materials, but will be replaced by the final Team cars ahead of the game's release.",F1 2019
0,77,0,0,,0.31666666666666665,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/ii28sx5s46u1ttrhrsvf.png,Tarsier Studios,,https://images.igdb.com/igdb/image/upload/t_original/co1rdi.png,Bandai Namco Entertainment,,Collection,"Immerse yourself in Little Nightmares, a dark whimsical tale that will confront you with your childhood fears! Help Six escape The Maw – a vast, mysterious vessel inhabited by corrupted souls looking for their next meal. As you progress on your journey, explore the most disturbing dollhouse offering a prison to escape from and a playground full of secrets to discover. Reconnect with your inner child to unleash your imagination and find the way out!",Little Nightmares
8,0,0,0,,4.083333333333333,2015-02-18,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/o1iyapimcnmubnxmfigf.png,VooFoo Studios,PS4,https://images.igdb.com/igdb/image/upload/t_original/co2n9q.png,Sony Computer Entertainment,,Collection,"VooFoo Studios' acclaimed PlayStation Network game Hustle Kings is coming to Vita, with intuitive touch screen controls and more.",Hustle Kings
0,83,0,0,,0.5,2020-06-30,,122.6288888888889,98.61555555555556,60.67333333333333,https://images.igdb.com/igdb/image/upload/t_original/sc6str.png,Nihon Falcom,Switch,https://images.igdb.com/igdb/image/upload/t_original/co1mkb.png,Nihon Falcom,,B Play Next,"The game is a direct sequel to the prior two Trails of Cold Steel games, picking up one and a half years after the events of Trails of Cold Steel II. The story will be centered around main character Rean Schwarzer, now a military professor, as well as his students, and the rest of his military school friends from the prior two entries, notably exploring subjects such as the mysterious origin's of Rean's birth, and what others have been up to since the events of the prior games. The game will also feature appearances from Tita and Agate, characters from Trails in the Sky, a separate meta series within The Legend of Heroes series, as well as Tio and Randy, characters from Trails to Zero.",The Legend of Heroes: Trails of Cold Steel III
0,81,0,0,,0.08333333333333333,2014-11-11,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/scljrg.png,Re-Logic,PS4,https://images.igdb.com/igdb/image/upload/t_original/co1rbo.png,Headup Games,,Collection,"Dig, Fight, Explore, Build: The very world is at your fingertips as you fight for survival, fortune, and glory. Will you delve deep into cavernous expanses in search of treasure and raw materials with which to craft ever-evolving gear, machinery, and aesthetics? Perhaps you will choose instead to seek out ever-greater foes to test your mettle in combat? Maybe you will decide to construct your own city to house the host of mysterious allies you may encounter along your travels? In the World of Terraria, the choice is yours!",Terraria
0,68,0,0,,0.06666666666666667,2015-11-05,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/u4zeufbp86o3mbnbyrgf.png,Galapagos RPG,PS4,https://images.igdb.com/igdb/image/upload/t_original/co237d.png,Compile Heart,,Collection,"Fairy Fencer F: Advent Dark Force is an enhanced remaster of the 2013 fantasy role-playing game, Fairy Fencer F, featuring rebalanced battle mechanics, updated graphics, and new story routes and character endings.",Fairy Fencer F: Advent Dark Force
0,76,0,0,,0.5833333333333334,2015-10-16,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/laizybvrl9fbq8kutq5v.png,tri-Crescendo,PS4,https://images.igdb.com/igdb/image/upload/t_original/co1rdq.png,Bandai Namco Entertainment,,Collection,"Tales of Zestiria is a Japanese role-playing game. It is the fifteenth main entry in the Tales series. As with previous entries in the Tales series, the game uses a variation of the action-based Linear Motion Battle System, with additional elements including a navigable open world, and the ability for certain characters to fuse into a single entity in battle to deliver powerful attacks. The story follows Sorey, a young man blessed with powers by a mystical spirit race known as the Seraphim who act as a stabilizing force in the land, as he travels to free the land of Glenwood from the threat of the Hellion, creatures spawned by negative emotions.",Tales of Zestiria
36,80,0,0,,24.683333333333334,2013-11-15,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/yald1zjkvljo9e4ovqip.png,Criterion Games,PS4,https://images.igdb.com/igdb/image/upload/t_original/co20a3.png,Electronic Arts,,Collection,"Players assume the role of both cops and lawbreakers in Need for Speed: Rivals, which is the inaugural outing of Ghost Games – the rebranded EA Gothenburg studio in Sweden. Ghost Games is made up of talent moved over from UK-based Criterion Games, best known for its work on the Burnout series and shooter Black, along with former DICE staff.",Need for Speed: Rivals
0,80,0,0,,3.1,2014-02-18,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/t8zhedgdwoileoam4wia.png,Ubisoft Montpellier,PS4,https://images.igdb.com/igdb/image/upload/t_original/co3ma8.png,Ubisoft Entertainment,,Collection,"The Glade of Dreams is in trouble once again! The nightmares multiplied and spread, creating new monsters even more terrifying than before!",Rayman Legends
