Completion %,Critic Rating,Format,My Rating,Date Finished,Hours Played,Release Date,Date Started,HLTB Complete,HLTB Extras,HLTB Story,Banner URL,Developer,Platform,Poster URL,Publisher,Review,Status,Summary,Title
4,50,0,0,,0.06666666666666667,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc619w.png,We're Five Games,,https://images.igdb.com/igdb/image/upload/t_original/co1uwi.png,tinyBuild,,Backlog,"Delivery Attempted. That's the Totally Reliable Delivery Service guarantee! T.R.D.S. is a ragdoll physics simulation about terrible package delivery couriers. Work together using odd machinery, useful gadgets, and the wonders of physics to reliably deliver packages to their destination.",Totally Reliable Delivery Service
0,84,0,0,,8.816666666666666,2021-10-05,,40.3375,23.750833333333333,12.288055555555555,https://images.igdb.com/igdb/image/upload/t_original/vge00t2yg7abkq6uhhc1.png,Traveller's Tales,Switch,https://images.igdb.com/igdb/image/upload/t_original/co5bze.png,WB Games,,Backlog,"In LEGO Marvel Super Heroes, players will unlock more than 100 characters from across the Marvel Universe, including fan favorites like Spider-Man, Iron Man, Wolverine, Captain America, the Hulk, Thor, Black Widow, Hawkeye, Deadpool, Loki and Galactus! The game will pack in a plethora of super-cool character abilities, combat-like action sequences, epic battle scenes, puzzle-solving and a unique story told with playful LEGO humor.",LEGO Marvel Super Heroes
0,62,0,0,,0.11666666666666667,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/duzggz8mg267ttxa7mmm.png,Ivory Tower,,https://images.igdb.com/igdb/image/upload/t_original/co54ib.png,Ubisoft Entertainment,,Backlog,"The newest iteration in the revolutionary franchise, The Crew 2 captures the thrill of the American motorsports spirit in one of the most exhilarating open worlds ever created. Welcome to Motornation, a huge, varied, action-packed, and beautiful playground built for motorsports throughout the entire US of A. Enjoy unrestrained exploration on ground, sea, and sky. From coast to coast, street and pro racers, off-road explorers, and freestylers gather and compete in all kinds of disciplines. Join them in high-octane contests and share every glorious moment with the world.",The Crew 2
0,77,0,0,,0.31666666666666665,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/ii28sx5s46u1ttrhrsvf.png,Tarsier Studios,,https://images.igdb.com/igdb/image/upload/t_original/co1rdi.png,Bandai Namco Entertainment,,Backlog,"Immerse yourself in Little Nightmares, a dark whimsical tale that will confront you with your childhood fears! Help Six escape The Maw – a vast, mysterious vessel inhabited by corrupted souls looking for their next meal. As you progress on your journey, explore the most disturbing dollhouse offering a prison to escape from and a playground full of secrets to discover. Reconnect with your inner child to unleash your imagination and find the way out!",Little Nightmares
0,83,0,0,,0.5,2020-06-30,,122.92055555555555,98.45027777777777,61.30694444444445,https://images.igdb.com/igdb/image/upload/t_original/sc6str.png,Nihon Falcom,Switch,https://images.igdb.com/igdb/image/upload/t_original/co1mkb.png,Nihon Falcom,,Backlog,"The game is a direct sequel to the prior two Trails of Cold Steel games, picking up one and a half years after the events of Trails of Cold Steel II. The story will be centered around main character Rean Schwarzer, now a military professor, as well as his students, and the rest of his military school friends from the prior two entries, notably exploring subjects such as the mysterious origin's of Rean's birth, and what others have been up to since the events of the prior games. The game will also feature appearances from Tita and Agate, characters from Trails in the Sky, a separate meta series within The Legend of Heroes series, as well as Tio and Randy, characters from Trails to Zero.",The Legend of Heroes: Trails of Cold Steel III
0,73,0,0,,0.23333333333333334,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/fzi1nrrphqfwwlwpko7u.png,Warhorse Studios,,https://images.igdb.com/igdb/image/upload/t_original/co4aqi.png,Deep Silver,,Backlog,"Story-driven open-world RPG that immerses you in an epic adventure in the Holy Roman Empire. Avenge your parents' death as you battle invading forces, go on game-changing quests, and make influential choices. Explore castles, forests, villages and other realistic settings in medieval Bohemia!",Kingdom Come: Deliverance
1,69,0,0,,0.5,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc6w6h.png,Ghost Games,,https://images.igdb.com/igdb/image/upload/t_original/co209t.png,Electronic Arts,,Backlog,"Hustle by day and risk it all at night in Need for Speed Heat, a white-knuckle street racer, where the lines of the law fade as the sun starts to set. By day, Palm City hosts the Speedhunter Showdown, a sanctioned competition where you earn Bank to customize and upgrade your high-performance cars. At night, ramp up the intensity in illicit street races that build your reputation, getting you access to bigger races and better parts. But stay ready – cops are waiting and not all of them play fair",Need for Speed: Heat
8,0,0,0,,15.566666666666666,2019-03-26,,82.11333333333333,50.02861111111111,36.56777777777778,https://images.igdb.com/igdb/image/upload/t_original/schmyy.png,Square,Switch,https://images.igdb.com/igdb/image/upload/t_original/co4xgh.png,Square Enix,,Backlog,"In addition to graphical resolution improvements to the previous port, this re-release of the PC version of Final Fantasy VII also featured cloud saving, as well as unlockable achievements and a Character Booster feature. The consoles versions of Final Fantasy VII are based on the PC re-release, some little graphical improvements were made.",Final Fantasy VII
0,65,0,0,,1.9333333333333333,1999-11-30,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/tgtp8xme7tx5sguwn0y6.png,Traveller's Tales,PS1,https://images.igdb.com/igdb/image/upload/t_original/co3wv5.png,Activision,,Backlog,"Woody has been stolen from the bedroom, ready to be sold to the highest bidder by an evil toy collector. It's up to good friend Buzz Lightyear to fight his way through from the bedroom to the outside world in order to save Woody from the toy market and bring him home. All of the character from the 3D animated movie appear through-out the side scroller to help Buzz get to where he is needed. Along with the use of his cannon, Buzz can jump to hard to reach places, also useful in collecting the hidden coins that open bonus levels.",Toy Story 2: Buzz Lightyear to the Rescue!
3,93,0,0,,3.783333333333333,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/scawfp.png,Sucker Punch Productions,,https://images.igdb.com/igdb/image/upload/t_original/co3p5f.png,Sony Interactive Entertainment,,Backlog,"Ghost of Tsushima: Director's Cut Includes:
- Full game.
- Iki Island expansion: New story, mini-games, enemy types and more.
- Legends online co-op mode.
- Digital mini art book by Dark Horse.
- Director’s commentary: The creative team sits down with a renowned Japanese historian to look at the world of Ghost of Tsushima and how it compares to the real-life events that inspired it.
- One Technique Point.
- Charm of Hachiman’s Favour.
- Hero of Tsushima Skin Set: Golden Mask, Sword Kit, Horse, Saddle.",Ghost of Tsushima: Director's Cut
0,75,0,0,,4.066666666666666,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/ypmnvvx803gj1gyri0xz.png,Sega AM2,,https://images.igdb.com/igdb/image/upload/t_original/co2e3q.png,Sega,,Backlog,"""Originally released for the Dreamcast in 2000 and 2001, Shenmue I & II is an open world action adventure combining jujitsu combat, investigative sleuthing, RPG elements, and memorable mini-games. It pioneered many aspects of modern gaming, including open world city exploration, and was the game that coined the Quick Time Event (QTE). It was one of the first games with a persistent open world, where day cycles to night, weather changes, shops open and close and NPCs go about their business all on their own schedules. Its engrossing epic story and living world created a generation of passionate fans, and the game consistently makes the list of “greatest games of all time”.""",Shenmue I & II
0,66,0,0,,0.016666666666666666,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/fijx8uf1lsmwi8tb4agn.png,VooFoo Studios,,https://images.igdb.com/igdb/image/upload/t_original/co24z4.png,VooFoo Studios,,Backlog,"The race is on in Mantis Burn Racing, where fast-paced bumper-to-bumper racing combines with intuitive, tactile gameplay and stunning visuals in one of the best-looking and most immersive top-down racers around. Drive incredible built-for-racing vehicles across highly detailed, visually stunning tracks, in high-risk, high-speed races where winning is everything. Prove your skills in an extensive career mode and take on friends with 4-player local split-screen racing and online modes for up to 8 players in ‘one-more-go’ style competitive racing. With a RPG-style upgrade system providing players with deep tactical choices and excellent replay-ability, this is racing at its rawest but most exciting!",Mantis Burn Racing
0,57,0,0,,0.016666666666666666,2014-10-03,,60.0,46.20916666666667,41.0,https://images.igdb.com/igdb/image/upload/t_original/sccf6g.png,Kadokawa Games,Vita,https://images.igdb.com/igdb/image/upload/t_original/co2qt6.png,Kadokawa Games,,Backlog,"Strategy role-playing gamers be ready, as this game will truly test your ability to conquer the evils that lurk in the sprawling networks of mines and ruins in the areas surrounding the fortress city of Feste. Seasoned explorers and novices alike venture underground into dangerous caves to collect the coveted material known as Pluton. During your first trip down into the depths of one of these mines, you and your new explorer friends quickly realize that things may be more dire than you had imagined as you encounter a brand-new type of evil lurking below the surface. You and your newfound friends must strategically defeat these new difficult foes and warn the kingdom of their presence before it's too late.",Natural Doctrine
0,0,0,0,,0.0,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sce5y9.png,,,https://images.igdb.com/igdb/image/upload/t_original/.png,,,Backlog,,Job Simulator
0,81,0,0,,8.883333333333333,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/jonqwskjocnykh9s6gug.png,Bethesda Game Studios,,https://images.igdb.com/igdb/image/upload/t_original/co1vco.png,Bethesda Softworks,,Backlog,"Skyrim special edition is a remaster of the classic from 2011. Now with upgraded visuals.
Skyrim reimagines and revolutionises the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose.",The Elder Scrolls V: Skyrim - Special Edition
0,84,0,0,,45.516666666666666,,,267.00805555555553,136.48638888888888,69.63416666666667,https://images.igdb.com/igdb/image/upload/t_original/sc8d2v.png,Mojang Studios,,https://images.igdb.com/igdb/image/upload/t_original/co49x5.png,Mojang Studios,,Backlog,"Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically-generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or their single-player maps. Other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the Nether. A designated but completely optional goal of the game is to travel to a dimension called the End, and defeat the ender dragon.",Minecraft
0,83,0,0,,0.35,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc6l7y.png,HoYoverse,,https://images.igdb.com/igdb/image/upload/t_original/co480t.png,HoYoverse,,Backlog,"Genshin Impact is an open-world action RPG, where you embark on a journey across Teyvat to find your lost sibling and seek answers from The Seven, the gods of each element. Explore this wondrous world, join forces with a diverse range of characters, and unravel the countless mysteries that Teyvat holds...",Genshin Impact
7,89,0,0,,5.15,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc8dka.png,Codemasters,,https://images.igdb.com/igdb/image/upload/t_original/co2kts.png,Codemasters,,Backlog,"F1 2020 allows you to create your F1 team for the very first time and race alongside the official teams and drivers. Alternatively, challenge your friends in new split-screen with casual race options for more relaxed racing. Compete on 22 circuits, with current and classic content.",F1 2020
2,92,0,0,,39.083333333333336,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/zco4xhfv2cidfddkotye.png,Media Molecule,,https://images.igdb.com/igdb/image/upload/t_original/co4rmx.png,Sony Interactive Entertainment,,Backlog,"Dreams is a game designed to unleash players’ creativity, turning the PS4 into the Creative console.

It’s both a playful sandbox game and an endless explorative journey where players can create and share their dreams, and then surf an endless dreamiverse of single assets, games, animation, music and everything in between. The thing that unites everything is the feeling of being in a dream.",Dreams
1,64,0,0,,1.5666666666666667,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc6k7o.png,Other Ocean Interactive,,https://images.igdb.com/igdb/image/upload/t_original/co1tjg.png,Sony Interactive Entertainment,,Backlog,"Re-live the original adventure on PlayStation 4. The beloved fan-favorite has been completely remade from the grave up, blending classic gameplay with stunning visuals, all in eye-popping native 4K!",MediEvil
0,0,0,0,,0.45,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc6l4d.png,Funsolve,,https://images.igdb.com/igdb/image/upload/t_original/co1s31.png,Outright Games,,Backlog,"Unite in adventure and laughter in the action-packed game of Jumanji, as you try to survive the ultimate challenge for those seeking to leave their world behind!

Only you and three teammates can recover the JEWELS and save Jumanji. So get online, gather friends for split-screen play, or go alone with AI companions. There’s an army of evil marauders to take on, deadly beasts and traps to dodge, and cool customizations to unlock. And with heroes Dr. Bravestone, Ruby, Mouse, and Prof. Oberon as your avatars, you know you’ve got the unique abilities – and hilarious failings – to save the day!",Jumanji: The Video Game
2,74,0,0,,17.45,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/kjrtfpaex7mwrjazwv1m.png,SIE Bend Studio,,https://images.igdb.com/igdb/image/upload/t_original/co1izz.png,Sony Interactive Entertainment,,Backlog,"Days Gone is an open-world action-adventure game set in a harsh wilderness two years after a devastating global pandemic. Play as Deacon St. John, a Drifter and bounty hunter who rides the broken road, fighting to survive while searching for a reason to live.

At its core, Days Gone is about survivors and what makes them human: desperation, loss, madness, betrayal, friendship, brotherhood, regret, love – and hope. It’s about how even when confronted with such enormous tragedy they find a reason to live. Hope never dies.",Days Gone
0,74,0,0,,0.06666666666666667,2022-03-11,,124.32055555555556,91.90972222222223,51.321666666666665,https://images.igdb.com/igdb/image/upload/t_original/vxlmyvs1ubycvtn7dw0p.png,CyberConnect2,Switch,https://images.igdb.com/igdb/image/upload/t_original/co30zq.png,Bandai Namco Entertainment,,Backlog,"A remastered collection of the .hack//G.U. series with Improved graphics, systems, and game elements. This collection has an additional 4th volume continuing the story 16 months after the end of the 3rd game.
There is also a movie version of the story, called .hack//G.U. Termination Disc, that goes over the story of the first 4 .hack games and acts as a prequel to the .hack//G.U. trilogy ending just before the first game begins.
It will also include an optional cheat mode, that starts the player with maxed stats, for those who just want to experience the story.

"".hack//G.U. is back better than ever! Get ready to log back into .hack as the beloved cross media franchise returns with enhanced graphics, improved gameplay, and brand new modes! Join Haseo as he fights to discover what's reality in ""The World"" and save his friend Shino, who was put into a coma in the real world by the Player Killer Tri-Edge.

Celebrate the 15th anniversary of the franchise with the epic G.U trilogy, including the original .hack//G.U. titles - Rebirth, Reminisce, and Redemption - now with enhanced system features such as battle balance and game pacing!""",.Hack//G.U. Last Recode
4,72,0,0,,0.2833333333333333,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/y8djofabxrwxbzuvgngm.png,No Brakes Games,,https://images.igdb.com/igdb/image/upload/t_original/co2y4a.png,Curve Digital,,Backlog,"Human: Fall Flat is an open-ended physics based puzzle game in which you take control of builder Bob helping him resolve the mysteries behind his recurring dreams of falling. Your goal is to escape those dreams full of puzzles, dangers and surprises using everything you find in the levels. The world of Bob dreams is built on his daily experiences, hopes, fears and memories interweaved in a net so sticky and hard to escape. All this mess is actually a carefully crafted work of… wait! You are the one to find it out! Bob is a human. Just a human. No hero. Zero superpowers. Period.",Human: Fall Flat
3,84,0,0,,0.4,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/mhahqf5iarcdmp6xca3c.png,Codemasters,,https://images.igdb.com/igdb/image/upload/t_original/co1srp.png,Codemasters,,Backlog,"Dirt Rally is a racing video game focused on rallying. Players compete in timed stage events on tarmac and off-road terrain in varying weather conditions. On release, the game features 17 cars, 36 stages from three real world locations, and asynchronous multiplayer. Rallycross and player versus player multiplayer modes are planned. Codemasters announced a partnership with the FIA World Rallycross Championship in July 2015. The early access version contains cars from the 1960's, 70's, 80's, Group B, Group A, 2010s Modern Rally, and Pikes Peak.",Dirt Rally
0,0,0,0,,0.0,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc8e2r.png,4 Gladiator,,https://images.igdb.com/igdb/image/upload/t_original/co2c9g.png,4 Gladiator,,Backlog,"Gather your friends and get ready for a goofy and fun 4 player racing experience for almost all ages! Choose between different modes and use your skills to challenge your friends, parents and the neighbour next door.",Racing Bros
0,75,0,0,,0.03333333333333333,2016-10-28,,83.62138888888889,47.18972222222222,35.41166666666667,https://images.igdb.com/igdb/image/upload/t_original/cd0lwgtz93hybtwoaykq.png,Square Enix,Vita,https://images.igdb.com/igdb/image/upload/t_original/co24k0.png,Square Enix,,Backlog,"World of Final Fantasy combines classic RPG gameplay mechanics with fresh and imaginative toy-like visuals. As a brand-new title in the Final Fantasy franchise, this game can be enjoyed by both fans and newcomers to the series. Players will lead a pair of twins through varied Final Fantasy worlds and encounter the adorably familiar monsters therein. Capture and raise such familiar beasts as cactuar, chocobo, and behemoth to discover alternate forms and learn new abilities.",World of Final Fantasy
35,85,0,0,,10.733333333333333,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc8bii.png,BlueTwelve Studio,,https://images.igdb.com/igdb/image/upload/t_original/co4tt2.png,Annapurna Interactive,,Backlog,"Lost, alone, and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten cybercity and find the way home.",Stray
0,60,0,0,,1.8666666666666667,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/cyy9rcio5gwkasphr0ap.png,Funselektor Labs,,https://images.igdb.com/igdb/image/upload/t_original/co286i.png,Funselektor Labs,,Backlog,"In Absolute Drift, you will master the art of drifting. Practice your skills in Free-Roam and compete in drift events such as Driftkhana and Mountain Drifting.",Absolute Drift
0,0,0,0,,4.766666666666667,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc8iwk.png,Insomniac Games,,https://images.igdb.com/igdb/image/upload/t_original/co1pxp.png,Sony Interactive Entertainment,,Backlog,"Experience the Game of the Year Edition of Marvel’s Spider-Man, which includes the full game, plus Marvel’s Spider-Man: The City That Never Sleeps complete DLC story arc content.

This isn’t the Spider-Man you’ve met or ever seen before. This is an experienced Peter Parker who’s more masterful at fighting big crime in New York City. At the same time, he’s struggling to balance his chaotic personal life and career while the fate of Marvel’s New York rest upon his shoulders.",Marvel's Spider-Man: Game of the Year Edition
0,82,0,0,,0.08333333333333333,2015-01-27,,12.069444444444445,11.533055555555556,10.773888888888889,https://images.igdb.com/igdb/image/upload/t_original/hu5bxodqypmlee03ez9a.png,Double Fine Productions,Vita,https://images.igdb.com/igdb/image/upload/t_original/co27pj.png,Double Fine Productions,,Backlog,"Something's rotten in the land of the dead, and you're being played for a sucker. Meet Manny Calavera, travel agent at the Department of Death. He sells luxury packages to souls on their four-year journey to eternal rest. But there's trouble in paradise. Help Manny untangle himself from a conspiracy that threatens his very salvation.

One of the most acclaimed adventure games of all time is now back, better than ever. Grim Fandango's epic story of four years in the life (or death) of Manny Calavera, travel agent to the dead, has been remastered to look, sound, and control even better than when it won GameSpot's Game of the Year award upon its original launch. Grim Fandango still stands as a classic of the genre, with unforgettable characters and unique combination of film noir and Mexican folklore.",Grim Fandango Remastered
100,96,2,10,2021-10-10,1.3833333333333333,2018-09-18,2021-10-08,20.810555555555556,10.936388888888889,6.760277777777778,https://images.igdb.com/igdb/image/upload/t_original/tz5ypjqhppmtypognq7o.png,tobyfox,Switch,https://images.igdb.com/igdb/image/upload/t_original/co2855.png,8-4,,Completed,"A small child falls into the Underground, where monsters have long been banished by humans and are hunting every human that they find. The player controls the child as they try to make it back to the Surface through hostile environments, all the while engaging with a turn-based combat system with puzzle-solving and bullet hell elements, as well as other unconventional game mechanics.",Undertale
10,65,0,0,,0.2833333333333333,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/djlcrntdbzwk7zftrnof.png,Viewpoint Games,,https://images.igdb.com/igdb/image/upload/t_original/.png,Viewpoint Games,,Backlog,"Requires Oculus Rift DK1 / DK2 headset.

The checkered flag is about to drop on a new Virtual Reality racing game!
Get in the drivers’ seat and experience racing like never before.",VR Karts
6,80,0,0,,1.6333333333333333,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/scica9.png,Capcom Production Studio 4,,https://images.igdb.com/igdb/image/upload/t_original/co2vz8.png,Capcom,,Backlog,"Resident Evil is the 2002 remake of the original 1996 video game of the same name featuring various improvements and gameplay overhaul. The game features all-new graphics and sound, and also incorporates gameplay elements from the earlier installments. While the overall plot remained mostly unchanged, several new areas and rooms were added to the game. This remake also features many additional modes, secrets and various endings over the original.",Resident Evil
0,91,0,0,,30.45,2021-01-28,,173.40583333333333,103.16305555555556,51.38527777777778,https://images.igdb.com/igdb/image/upload/t_original/mnljdjtrh44x4snmierh.png,CD Projekt RED,Switch,https://images.igdb.com/igdb/image/upload/t_original/co1wyy.png,WB Games,,Backlog,"RPG and sequel to The Witcher 2 (2011), The Witcher 3 follows witcher Geralt of Rivia as he seeks out his former lover and his young subject while intermingling with the political workings of the wartorn Northern Kingdoms. Geralt has to fight monsters and deal with people of all sorts in order to solve complex problems and settle contentious disputes, each ranging from the personal to the world-changing.",The Witcher 3: Wild Hunt
1,85,0,0,,5.6,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc8bjh.png,Sumo Digital,,https://images.igdb.com/igdb/image/upload/t_original/co4522.png,Sony Interactive Entertainment,,Backlog,"Iconic PlayStation hero, Sackboy returns in an all-new 3D adventure with a deeply immersive and expressive control scheme. Players can go on this epic platforming journey solo-style, or they can team up with friends for collaborative, chaotic multiplayer fun.",Sackboy: A Big Adventure
